record_id	PMID	protein_name	gene_symbol	assay_target_ID	proteomic_platform	disease	disease_subtype	evidence_tier	inclusion_status	exclusion_reason	high_complexity_locus	mapping_confidence	PP_H4	replication_status	source_table_file	source_sheet	source_row	manual_verification_status	notes
PMID40037332	40037332	BIN1	BIN1	9574_11	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	1.58143118365804e-24	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1897	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID41350740	41350740	BIN1	BIN1	deCODE protein label requires cross-platform mapping	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	1.48e-24	single_external_replication_reported	data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx	Table S6	4	full_text_and_source_table_verified	Source-paper tier was not copied automatically; raw FDR, coloc and replication fields drive A1 tiering.
PMID41630303	41630303	BIRC2	BIRC2	10046_55_BIRC2_cIAP_1	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	4	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40050982	40050982	CBLIF	CBLIF	P27352	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	39	full_text_and_source_table_verified	Replication P=0.160227124541369; replication PP.H4=NA.
PMID41630303	41630303	CCDC134	CCDC134	15300_66_CCDC134_CC134	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	22	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID41630303	41630303	CCL21	CCL21	2516_57_CCL21_6Ckine	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	38	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40037332	40037332	CD33	CD33	3166_92	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.632092477379795	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1920	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	CD55	CD55	5069_9	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	1.04629196157501e-21	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1902	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	CD55	CD55	OID20377	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	7.98327622941789e-22	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	18	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID41630303	41630303	CD55	CD55	5069_9_CD55_DAF	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	13	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40050982	40050982	CDSN	CDSN	Q15517	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	21	full_text_and_source_table_verified	Replication P=NA; replication PP.H4=NA.
PMID40037332	40037332	CEACAM19	CEACAM19	OID31443	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	4.49956349765593e-103	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	25	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	CEACAM19	CEACAM19	Q7Z692	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	32	full_text_and_source_table_verified	Replication P=0.0191932735610762; replication PP.H4=NA.
PMID41630303	41630303	CSF3	CSF3	4840_73_CSF3_G_CSF	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	5	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40037332	40037332	CTF1	CTF1	OID20061	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	1.26349050415729e-05	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	38	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	CTF1	CTF1	Q16619	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	48	full_text_and_source_table_verified	Replication P=0.0145040950173927; replication PP.H4=NA.
PMID40037332	40037332	DHRS4L2	DHRS4L2	OID31072	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.791484651979612	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	42	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	DHRS4L2	DHRS4L2	Q6PKH6	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	55	full_text_and_source_table_verified	Replication P=0.824422132189859; replication PP.H4=NA.
PMID41630303	41630303	DHRS9	DHRS9	17467_1_DHRS9_DHRS9	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	14	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40050982	40050982	DMP1	DMP1	Q13316	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	58	full_text_and_source_table_verified	Replication P=0.413188899133149; replication PP.H4=NA.
PMID41630303	41630303	DNAJB4	DNAJB4	18884_22_DNAJB4_DNJB4	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	28	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID41630303	41630303	DNASE1L2	DNASE1L2	6324_11_DNASE1L2_DNSL2	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	37	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40037332	40037332	EIF4G3	EIF4G3	OID31022	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.713305845841298	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	34	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	EPHA1	EPHA1	OID20677	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.0163689536092392	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	14	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	EPHX2	EPHX2	OID20119	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	9.14206890804788e-24	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	19	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	EPHX2	EPHX2	P34913	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	20	full_text_and_source_table_verified	Replication P=0.0237485637349583; replication PP.H4=NA.
PMID41630303	41630303	ERP44	ERP44	6064_4_ERP44_TXNDC4	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	17	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID41630303	41630303	FTMT	FTMT	8048_9_FTMT_FTMT	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	not_cis_only;mapping_not_high_confidence;no_strong_colocalization_or_independent_replication	false	moderate	not_reported	not_reported	data_raw\literature_fulltext\PMID41630303_PMC12863894\supplements\medi-105-e45715-s001.xlsx	Table S3	16	full_text_and_source_table_verified	Paper states these 39 rows passed FDR; row-level adjusted P is absent, so retained in Tier2 only.
PMID40037332	40037332	GC	GC	OID30780	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.72688917924812	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	41	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	GNAS	GNAS	OID31008	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.557258608535282	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	47	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40050982	40050982	GNAS	GNAS	O95467	UKB-PPP Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	NA	replication_not_corrected_or_direction_inconsistent	data_raw\literature_fulltext\PMID40050982_PMC11884171\supplements\12967_2025_6317_MOESM1_ESM.xlsx	Table S2	56	full_text_and_source_table_verified	Replication P=0.0295500379100126; replication PP.H4=NA.
PMID40037332	40037332	GNPNAT1	GNPNAT1	13954_9	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.00655187347670294	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1919	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID41350740	41350740	TIMD3	HAVCR2	deCODE protein label requires cross-platform mapping	deCODE SomaScan	AD	AD	Tier2	literature_source_universe_tier2	mapping_not_high_confidence	false	moderate	0.874	independent_external_replication_reported	data_raw\literature_fulltext\PMID41350740_PMC12681122\supplements\13195_2025_1901_MOESM1_ESM.xlsx	Table S6	8	full_text_and_source_table_verified	Source-paper tier was not copied automatically; raw FDR, coloc and replication fields drive A1 tiering.
PMID40037332	40037332	HDGF	HDGF	8953_47	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.529273028910268	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1927	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	HDGF	HDGF	OID21455	Olink	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.485867096120641	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	44	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
PMID40037332	40037332	IBSP	IBSP	3415_61	SomaScan	AD	AD	Tier2	literature_source_universe_tier2	no_strong_colocalization_or_independent_replication	false	high	0.411376192700203	partially_overlapping_cross_platform	data_processed\literature_supplements_extracted\PMID40037332\awaf018_supplementary_data\brain-2024-00441-File011.xlsx	Table S2	1922	full_text_and_source_table_verified	FDR-significant AD row; colocalization joined by assay ID.
