gene_symbol	assay_target_ID	UniProt_ID	outcome	method	method_role	nsnp	beta	SE	P_value	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Cochran_Q	Q_df	Q_P	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	Steiger_direction	Steiger_P	Steiger_method	mean_F	min_F	planned_family_size	observed_primary_tests_in_family	P_FDR_observed_reestimated	P_Bonferroni_planned_family	corrected_significance_FDR_observed	corrected_significance_Bonferroni_planned	planned_family_total	P_FDR_all_estimable	P_Bonferroni_planned_20	corrected_significance_FDR_all_estimable	corrected_significance_Bonferroni_planned_20	beta_status	exclusion_reason	beta_source	analysis_set	id.exposure	id.outcome	exposure
"LILRB1"	"OID20323"	"Q8NHL6"	"dry_AMD"	"MR Egger"	"sensitivity"	27	-0.002366410897615	0.0469153513951504	0.960172598323257	-0.0943204996321098	0.0895876778368798	0.997636386845348	0.909991063697488	1.09372322439499	46.5974004591505	25	0.00546734363164212	0.0030161625305104	0.00714850710548821	0.676683115494704	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"dry_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"dry_AMD"	"Weighted median"	"sensitivity"	27	0.0177282857885917	0.0344922291176883	0.607266584549866	-0.0498764832820773	0.0853330548592607	1.01788636462096	0.951346924493677	1.08907972959779	NA	NA	NA	0.0030161625305104	0.00714850710548821	0.676683115494704	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"dry_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"wet_AMD"	"Inverse variance weighted"	"primary"	27	-0.00429307020710603	0.0390619835235268	0.912485470226862	-0.0808545579132187	0.0722684174990066	0.995716131845733	0.922327826973748	1.07494383908038	47.8532981075915	26	0.00561743051028546	0.00987792147157061	0.0078958124532254	0.22250388275531	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	5	0.912485470226862	1	FALSE	FALSE	20	0.976735527761696	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"wet_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"wet_AMD"	"MR Egger"	"sensitivity"	27	-0.0475531080144143	0.0518567273910588	0.36789981576844	-0.14919229370089	0.054086077672061	0.95355983011866	0.861403456513325	1.05557545972288	45.0340182956561	25	0.00828814285146715	0.00987792147157061	0.0078958124532254	0.22250388275531	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"wet_AMD"	"LILRB1"
"LILRB1"	"OID20323"	"Q8NHL6"	"wet_AMD"	"Weighted median"	"sensitivity"	27	-0.0336129640609536	0.0386694702288611	0.384717092629427	-0.109405125709521	0.0421791975876141	0.966945674951468	0.896367202530426	1.04308137967109	NA	NA	NA	0.00987792147157061	0.0078958124532254	0.22250388275531	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	280.922675382214	29.8257837543759	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB1"	"wet_AMD"	"LILRB1"
"LILRB5"	"OID20324"	"O75023"	"AD"	"Inverse variance weighted"	"primary"	11	-0.0281603685329401	0.0170305879549901	0.0982256673485834	-0.0615403209247207	0.00521958385884053	0.972232438808721	0.940315030603484	1.00523322961807	13.2814093548564	10	0.208360738075597	-0.00810109705335419	0.00688829783425396	0.269738674181081	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	844.437717924719	39.8566958145705	5	5	0.245564168371458	0.491128336742917	FALSE	FALSE	20	0.428826420118395	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB5"	"AD"	"LILRB5"
"LILRB5"	"OID20324"	"O75023"	"AD"	"MR Egger"	"sensitivity"	11	-0.0114356263439603	0.0219447704907636	0.614868548451541	-0.0544473765058569	0.0315761238179364	0.988629511895682	0.947008342434567	1.03207993847069	11.5121984948461	9	0.242225942293164	-0.00810109705335419	0.00688829783425396	0.269738674181081	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	844.437717924719	39.8566958145705	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB5"	"AD"	"LILRB5"
"LILRB5"	"OID20324"	"O75023"	"AD"	"Weighted median"	"sensitivity"	11	-0.011256340279716	0.0162482229889209	0.488451628886533	-0.043102857338001	0.020590176778569	0.988806775279818	0.957812866918409	1.02080361687453	NA	NA	NA	-0.00810109705335419	0.00688829783425396	0.269738674181081	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	844.437717924719	39.8566958145705	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB5"	"AD"	"LILRB5"
"LILRB5"	"OID20324"	"O75023"	"any_AMD"	"Inverse variance weighted"	"primary"	11	0.0108197897662487	0.0215817100900871	0.616131362117716	-0.0314803620103221	0.0531199415428195	1.01087853537207	0.969009985674988	1.05455612262259	11.4971083146365	10	0.320121075024944	0.00636916704524206	0.00806017574012983	0.449728340299535	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	844.437717924719	39.8566958145705	5	5	0.935185917372513	1	FALSE	FALSE	20	0.959774652352869	1	FALSE	FALSE	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB5"	"any_AMD"	"LILRB5"
"LILRB5"	"OID20324"	"O75023"	"any_AMD"	"MR Egger"	"sensitivity"	11	-0.00265182442684085	0.027831482380355	0.926179022642502	-0.0572015298923367	0.051897881038655	0.997351688553599	0.944403724606146	1.0532681783689	10.7511915843252	9	0.293149813997778	0.00636916704524206	0.00806017574012983	0.449728340299535	TRUE	0	"approximate_quantitative_trait_correlation_sensitivity"	844.437717924719	39.8566958145705	5	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	"reestimated"	"NA"	"PWAS2026_crosswalk_extension_same_assay"	"PWAS5_genome_wide_instruments"	"LILRB5"	"any_AMD"	"LILRB5"
