id.exposure	id.outcome	outcome	exposure	method	nsnp	beta	SE	P_value	Cochran_Q	Q_df	Q_P	gene_symbol	assay_target_ID	UniProt_ID	normalization	method_role	n_clumped	CI_lower	CI_upper	OR	OR_CI_lower	OR_CI_upper	Egger_intercept	Egger_intercept_SE	Egger_intercept_P	mean_F	min_F	beta_status	exclusion_reason	beta_source	instrument_scope	inference_role	planned_tests_per_outcome	planned_global_beta_tests	P_FDR_within_outcome	P_Bonferroni_within_outcome	P_FDR_global_36	P_Bonferroni_global_36	minus_log10_P	P_value_display	P_FDR_global_planned	P_Bonferroni_global_planned
"13435_31"	"any_AMD"	"any_AMD"	"13435_31"	"MR Egger"	5	-0.563555930367611	1.04943442948221	0.59126126775703	2.92881535743289	3	0.402731165279361	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-2.62044741215275	1.49333555141753	0.569181491282344	0.0727702972275173	4.45192039006663	0.0393843291935711	0.0725680791284148	0.625045149863417	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.228220569758448	"5.913e-01"	NA	NA
"13435_31"	"any_AMD"	"any_AMD"	"13435_31"	"Weighted median"	5	-0.0699964308956381	0.143011253751379	0.624525259505124	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-0.350298488248342	0.210305626457066	0.932397147722737	0.704477779994238	1.23405516223465	0.0393843291935711	0.0725680791284148	0.625045149863417	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.204449991490261	"6.245e-01"	NA	NA
"13435_31"	"dry_AMD"	"dry_AMD"	"13435_31"	"Inverse variance weighted"	5	-0.00193261982701831	0.126295622099328	0.987790967584975	2.32226896060516	4	0.676717636127233	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	10	-0.249472039141701	0.245606799487665	0.998069246480199	0.779212067962888	1.27839680842442	-0.0209709055241678	0.0858884286907237	0.822849518085524	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.987790967584975	1	0.987790967584975	1	0.00533494936898188	"9.878e-01"	0.987790967584975	1
"13435_31"	"dry_AMD"	"dry_AMD"	"13435_31"	"MR Egger"	5	0.299766868707523	1.24207786347596	0.809289242221861	2.26265265596935	3	0.519713398225382	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-2.13470574370537	2.73423948112041	1.34954414992723	0.118279389711371	15.3980284904	-0.0209709055241678	0.0858884286907237	0.822849518085524	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.0918962325899458	"8.093e-01"	NA	NA
"13435_31"	"dry_AMD"	"dry_AMD"	"13435_31"	"Weighted median"	5	-0.0702954746239672	0.162179586439284	0.664693557894515	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-0.388167464044964	0.247576514797029	0.932118361890053	0.678298743101185	1.28091736776665	-0.0209709055241678	0.0858884286907237	0.822849518085524	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.177378530319318	"6.647e-01"	NA	NA
"13435_31"	"wet_AMD"	"wet_AMD"	"13435_31"	"Inverse variance weighted"	5	-0.114689690795784	0.141723511848594	0.418371608214066	2.97656292606874	4	0.561755169016961	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"primary"	10	-0.392467774019028	0.163088392427461	0.891642785945678	0.675388111046304	1.17714073541704	0.0583054500807921	0.0963933641341931	0.587952277315656	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.612915053788227	1	0.684608086168471	1	0.378437795494366	"4.184e-01"	0.684608086168471	1
"13435_31"	"wet_AMD"	"wet_AMD"	"13435_31"	"MR Egger"	5	-0.953522024779059	1.39402070501467	0.493969792336396	2.61069526041125	3	0.45561761403898	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-3.68580260660782	1.7787585570497	0.385381307868376	0.0250770396464973	5.92249940774349	0.0583054500807921	0.0963933641341931	0.587952277315656	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.306299608612263	"4.940e-01"	NA	NA
"13435_31"	"wet_AMD"	"wet_AMD"	"13435_31"	"Weighted median"	5	-0.180606406684508	0.182776253463511	0.323089769041304	NA	NA	NA	"IL20RB"	"13435_31"	"Q6UXL0"	"smp"	"sensitivity"	10	-0.538847863472989	0.177635050103973	0.834763851517231	0.583420044845612	1.19438934941682	0.0583054500807921	0.0963933641341931	0.587952277315656	51.0908209479672	37.1232012764684	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.490676794131088	"3.231e-01"	NA	NA
"15333_11"	"AD"	"AD"	"15333_11"	"Inverse variance weighted"	17	-0.00837218370966532	0.0177937769917766	0.637989338737525	13.0079106835923	16	0.672179286303803	"SDF2"	"15333_11"	"Q99470"	"smp"	"primary"	21	-0.0432479866135474	0.0265036191942167	0.991662765418851	0.957673870317406	1.02685796365336	0.00569805628223307	0.00520099422331052	0.29054606660747	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.717738006079716	1	0.791986765329341	1	0.195186578592551	"6.380e-01"	0.791986765329341	1
"15333_11"	"AD"	"AD"	"15333_11"	"MR Egger"	17	-0.0242869657884268	0.0229703518673826	0.290366495053547	11.807635777541	15	0.693527347557155	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	-0.0693088554484967	0.0207349238716431	0.976005589353887	0.933038461559054	1.02095138592498	0.00569805628223307	0.00520099422331052	0.29054606660747	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.537053497658026	"2.904e-01"	NA	NA
"15333_11"	"AD"	"AD"	"15333_11"	"Weighted median"	17	0.00257794161227256	0.0223754875226701	0.908276487191253	NA	NA	NA	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	-0.0412780139321608	0.046433897156706	1.002581267361	0.959562321167177	1.04752883214561	0.00569805628223307	0.00520099422331052	0.29054606660747	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.0417819283694352	"9.083e-01"	NA	NA
"15333_11"	"any_AMD"	"any_AMD"	"15333_11"	"Inverse variance weighted"	17	0.0971660112698379	0.0436356392942209	0.0259634481185815	35.7398226338519	16	0.0031439410347423	"SDF2"	"15333_11"	"Q99470"	"smp"	"primary"	21	0.011640158253165	0.182691864286511	1.10204331004515	1.01170816852251	1.20044445127781	0.00172840916724823	0.0113638860261171	0.881137592617267	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.0778903443557447	0.233671033067234	0.103853792474326	0.934684132268936	1.58563763084587	"2.596e-02"	0.103853792474326	0.934684132268936
"15333_11"	"any_AMD"	"any_AMD"	"15333_11"	"MR Egger"	17	0.0905535613684989	0.0625937873610187	0.147984862626469	35.6847886118772	15	0.00196252948655284	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	-0.0321302618590976	0.213237384596096	1.09478014399403	0.968380430827794	1.23767842216622	0.00172840916724823	0.0113638860261171	0.881137592617267	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.829782706321359	"1.480e-01"	NA	NA
"15333_11"	"any_AMD"	"any_AMD"	"15333_11"	"Weighted median"	17	0.0685264555179445	0.050008136196057	0.170591360710376	NA	NA	NA	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	-0.0294894914263272	0.166542402462216	1.07092895655644	0.970941080793463	1.18121362117444	0.00172840916724823	0.0113638860261171	0.881137592617267	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.768042966666833	"1.706e-01"	NA	NA
"15333_11"	"dry_AMD"	"dry_AMD"	"15333_11"	"Inverse variance weighted"	17	0.150550328836548	0.0356097625220058	2.36005820832867e-05	16.996250559067	16	0.385839766851204	"SDF2"	"15333_11"	"Q99470"	"smp"	"primary"	21	0.0807551942934166	0.220345463379679	1.16247380958525	1.08410546887366	1.24650727883111	-0.00198027505574269	0.00927205667932017	0.833754687076819	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.00010620261937479	0.00021240523874958	0.00021240523874958	0.000849620954998321	4.62707728548574	"2.360e-05"	0.00021240523874958	0.000849620954998321
"15333_11"	"dry_AMD"	"dry_AMD"	"15333_11"	"MR Egger"	17	0.15814047554926	0.0511027008079623	0.00197103740219779	16.9447227015317	15	0.322179621619675	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	0.0579791819656537	0.258301769132866	1.17133072647822	1.05969293475674	1.29472946906733	-0.00198027505574269	0.00927205667932017	0.833754687076819	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	2.7053051345161	"1.971e-03"	NA	NA
"15333_11"	"dry_AMD"	"dry_AMD"	"15333_11"	"Weighted median"	17	0.160956655528068	0.0526114386048853	0.00221819936398048	NA	NA	NA	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	0.0578382358624926	0.264075075193643	1.17463405381766	1.05954358569237	1.30222595749705	-0.00198027505574269	0.00927205667932017	0.833754687076819	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	2.65399942356755	"2.218e-03"	NA	NA
"15333_11"	"wet_AMD"	"wet_AMD"	"15333_11"	"Inverse variance weighted"	17	0.0414009237206479	0.0581799447946499	0.476711708501954	35.9330835562137	16	0.00295600034644622	"SDF2"	"15333_11"	"Q99470"	"smp"	"primary"	21	-0.0726317680768659	0.155433615518162	1.04226989251276	0.929943201759412	1.16816438550577	0.0160383830731789	0.014583431994346	0.288771096146446	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	0.612915053788227	1	0.723111390615404	1	0.321744181248238	"4.767e-01"	0.723111390615404	1
"15333_11"	"wet_AMD"	"wet_AMD"	"15333_11"	"MR Egger"	17	-0.0198499629205388	0.0802684646176799	0.804680188728904	33.2518980430148	15	0.00433133868322756	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	-0.177176153571191	0.137476227730114	0.980345750486229	0.837632219619502	1.14737442995326	0.0160383830731789	0.014583431994346	0.288771096146446	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.0943766908957747	"8.047e-01"	NA	NA
"15333_11"	"wet_AMD"	"wet_AMD"	"15333_11"	"Weighted median"	17	-0.0341588383585915	0.0643391058519093	0.595475076428025	NA	NA	NA	"SDF2"	"15333_11"	"Q99470"	"smp"	"sensitivity"	21	-0.160263485828334	0.0919458091111507	0.966417988198721	0.851919290731467	1.0963054107064	0.0160383830731789	0.014583431994346	0.288771096146446	464.472755965662	32.5352865279099	"reestimated"	"NA"	"deCODE_SomaScan_smp_genome_wide_to_prespecified_primary_outcomes"	"genome_wide"	"independent_platform_same_assay_sensitivity"	9	36	NA	NA	NA	NA	0.225136411169109	"5.955e-01"	NA	NA
